applist,cri,cric,cricbuzz,cricguru,crick,cricke,cricket,GETX,goog,grt,jntuk,joke,jokes,lovestory,message,monitor,news,omegle,score,scr,smsbox,smsfun,t20,TA2012011107,triv,VTU,vturesult,wikipedia,word
0,2,2,0,0,193,8,4964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1923,0,0,0,0,0,3157,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,335,0,2416,0,22,0,2753,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,149,0,0,0,0,0,0
9,9,32,283,1,0,0,87,0,129,19,1,4,9,7,11,0,108,1223,7,0,612,24,12,1177,0,4,14,3,0
1,65,0,25,0,0,0,170,0,3,0,1,8,862,11,46,0,11,10,3,0,2169,89,1,2,24,0,1,17,245
0,6,0,3185,0,0,4,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,1,1118,8,1,1,159,0,210,0,0,36,1240,17,36,0,19,7,7,0,729,26,1355,5,0,0,1,5,1
0,178,0,11,0,0,0,4194,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
16,133,16,58,0,3,1,347,0,57,0,6,48,1550,25,13,0,9,17,10,0,2966,126,0,0,228,0,10,46,90
3,6,0,24,0,0,43,3791,0,1,0,9,1,10,28,54,0,5,3,9,0,9,0,0,0,6,0,2,0,19
0,0,0,0,0,0,0,5309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2923,1,0,0,2,0,1945,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,3515,10,6,6,0,2,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28,7,1881,1,0,1,1496,0,13,0,4,11,424,40,58,0,79,10,215,0,264,61,3,3,7273,24,8,14,1
225,211,262,2628,37,0,1,604,6,95,0,1,30,885,52,63,0,27,1,31,0,924,59,71,29,0,0,0,22,3
119,2,160,400,0,0,0,66,659,61,9,1,2,258,27,26,0,554,9,8,2,326,9,3,0,0,276,179,1,25
0,260,45,6252,0,0,2,4462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,11,0,3,0,0,0,406,182,0,0,0,40,3592,71,40,0,52,1,4,0,3947,0,0,0,0,0,0,30,3
0,2229,8,10598,1,0,0,5813,0,1,0,0,0,4,0,4,0,0,1,2199,0,3,0,0,0,0,0,0,0,0
0,447,3452,2558,0,0,0,1192,0,7,0,0,0,7,0,11,0,32,0,9,0,73,2,0,0,0,0,0,1,0
0,0,0,1379,0,0,0,2775,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,1557,0,422,23,0,3,2244,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,1,0,0,0,0
20,1067,54,960,453,0,0,703,1,3,11,4,1,2965,24,80,0,24,1040,235,3,478,117,126,965,775,162,300,4,53
46,105,124,1428,0,0,1,1581,0,68,82,9,0,56,64,3,0,453,1,276,0,702,12,0,0,2330,7,35,15,2
0,1245,3,853,0,0,0,1230,1,0,0,0,7,7,0,27,0,3,1,2,0,230,28,141,0,0,0,0,10,0
6,4,0,0,0,0,0,9,3,636,4,4,3,123,24,25,0,5,475,1,0,202,9,0,478,782,3,256,334,7
0,2196,1,10,0,0,7,1148,0,2,0,0,3,927,0,66,0,92,0,10,1,250,0,0,0,0,0,2,2,30
0,17,0,7,0,0,0,6026,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0
0,3218,0,17,0,0,0,2366,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,406,345,2512,12,15,1,286,0,0,0,2,4,28,0,2,0,37,4,573,6,6,0,128,1,1,0,0,4,3
0,61,1,330,0,0,0,49,0,3,19,0,13,2098,2,112,0,13,1,3,0,1466,25,0,0,0,1,0,35,5
0,0,0,0,0,0,0,5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,42,33,0,0,0,65,0,0,0,0,0,0,0,0,55894,0,0,0,0,0,0,0,0,0,28,0,25,0
0,1486,0,0,0,0,0,3620,0,0,0,0,0,5,8,0,0,7,0,2,0,1,0,4,0,0,0,1,0,0
0,0,0,3,0,0,0,1671,0,0,0,1,54,388,18,54,0,6,414,3,0,1244,14,0,0,0,359,23,10,0
0,1,0,3786,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
